order_id,district,food_category,weather,peak_time,distance_km,order_amount,num_items,rider_exp_months,app_version,delivery_time
ORD00042,제주시내,분식,비,N,2.4,20700,5,1.0,v3.2.1,29
ORD00043,제주시내,중식,맑음,N,1.2,28400,3,,v3.2.1,14
ORD00044,제주시내,한식,맑음,N,1.5,35300,6,7.0,v3.2.1,16
ORD00045,제주시내,분식,맑음,Y,5.4,14400,3,1.0,v3.2.1,31
ORD00046,제주시내,한식,맑음,N,1.3,26100,4,2.0,v3.2.1,19
ORD00047,조천읍,중식,맑음,N,3.8,22200,3,6.0,v3.2.1,21
ORD00048,한림읍,한식,비,Y,11.4,18000,3,,v3.2.1,62
ORD00049,한림읍,치킨,비,Y,7.3,38300,3,12.0,v3.2.1,56
ORD00050,제주시내,분식,흐림,Y,3.1,12200,2,5.0,v3.2.1,30
ORD00051,제주시내,카페디저트,비,N,3.0,10100,1,25.0,v3.2.1,17
ORD00052,구좌읍,한식,맑음,Y,1.9,32600,6,13.0,v3.2.1,29
ORD00053,제주시내,카페디저트,비,N,2.0,13800,3,,v3.2.1,8
ORD00054,애월읍,한식,맑음,N,3.0,33500,5,3.0,v3.2.1,23
ORD00055,제주시내,카페디저트,흐림,N,1.0,20900,5,4.0,v3.2.1,8
ORD00056,조천읍,한식,흐림,Y,5.2,47300,10,1.0,v3.2.1,43
ORD00057,구좌읍,카페디저트,,Y,3.7,11900,2,1.0,v3.2.1,23
ORD00058,애월읍,카페디저트,비,Y,1.7,8800,3,11.0,v3.2.1,28
ORD00059,제주시내,카페디저트,비,N,2.2,14700,3,1.0,v3.2.1,17
ORD00060,조천읍,분식,맑음,Y,1.9,13400,2,8.0,v3.2.1,26
ORD00061,조천읍,한식,맑음,Y,3.3,28800,4,12.0,v3.2.1,26
ORD00062,조천읍,중식,맑음,N,3.9,17400,2,2.0,v3.2.1,18
ORD00063,조천읍,카페디저트,비,N,3.0,10400,2,8.0,v3.2.1,18
ORD00064,제주시내,한식,맑음,N,2.2,18800,3,7.0,v3.2.1,21
ORD00065,구좌읍,치킨,맑음,Y,5.5,23000,1,7.0,v3.2.1,29
ORD00066,조천읍,치킨,흐림,N,1.1,27800,2,12.0,v3.2.1,22
ORD00067,제주시내,분식,흐림,Y,1.4,22400,4,6.0,v3.2.1,20
ORD00068,구좌읍,한식,흐림,N,4.9,19000,4,11.0,v3.2.1,24
ORD00069,제주시내,한식,맑음,Y,5.2,26800,4,12.0,v3.2.1,33
ORD00070,제주시내,치킨,맑음,N,2.0,47100,3,4.0,v3.2.1,23
ORD00071,애월읍,분식,흐림,N,2.0,16800,4,1.0,v3.2.1,23
ORD00072,제주시내,한식,흐림,N,4.4,21600,3,19.0,v3.2.1,27
ORD00073,애월읍,분식,맑음,N,3.2,21800,5,1.0,v3.2.1,27
ORD00074,애월읍,중식,흐림,N,9.4,27100,3,7.0,v3.2.1,51
ORD00075,제주시내,분식,맑음,Y,3.0,22300,5,5.0,v3.2.1,18
ORD00076,조천읍,치킨,맑음,N,7.3,22700,1,12.0,v3.2.1,39
ORD00077,제주시내,치킨,맑음,N,4.1,54300,5,11.0,v3.2.1,27
ORD00078,제주시내,한식,맑음,N,3.4,16300,2,1.0,v3.2.1,24
ORD00079,한림읍,카페디저트,흐림,N,4.7,17400,4,1.0,v3.2.1,22
ORD00080,한림읍,한식,비,N,2.9,23600,3,6.0,v3.2.1,36
ORD00081,제주시내,분식,맑음,N,1.4,16700,5,17.0,v3.2.1,8
ORD00082,한림읍,분식,맑음,Y,1.7,13400,2,1.0,v3.2.1,23
ORD00083,한림읍,카페디저트,흐림,N,1.7,9800,2,18.0,v3.2.1,8
ORD00084,구좌읍,분식,흐림,N,1.7,34600,9,57.0,v3.2.1,16
ORD00085,제주시내,한식,비,Y,5.7,29500,4,2.0,v3.2.1,42
ORD00086,제주시내,치킨,맑음,Y,2.1,22700,2,4.0,v3.2.1,33
ORD00087,제주시내,분식,맑음,N,2.8,16600,4,9.0,v3.2.1,17
ORD00088,한림읍,한식,맑음,N,1.7,25800,3,3.0,v3.2.1,16
ORD00089,한림읍,중식,맑음,Y,3.4,14800,1,4.0,v3.2.1,25
ORD00090,제주시내,한식,흐림,N,1.4,31100,6,2.0,v3.2.1,32
ORD00091,조천읍,분식,흐림,Y,0.5,12300,2,4.0,v3.2.1,15
ORD00092,구좌읍,치킨,맑음,Y,1.8,38500,3,22.0,v3.2.1,22
ORD00093,조천읍,치킨,맑음,Y,4.2,40700,5,23.0,v3.2.1,40
ORD00094,제주시내,분식,비,N,8.5,10300,2,2.0,v3.2.1,40
ORD00095,조천읍,한식,맑음,N,2.9,26200,3,1.0,v3.2.1,28
ORD00096,구좌읍,한식,맑음,N,3.2,18200,2,17.0,v3.2.1,17
ORD00097,구좌읍,한식,맑음,N,4.3,37600,6,30.0,v3.2.1,24
ORD00098,조천읍,중식,맑음,N,2.3,9200,1,2.0,v3.2.1,28
ORD00099,구좌읍,중식,맑음,Y,8.9,15300,2,3.0,v3.2.1,40
ORD00100,제주시내,중식,흐림,N,1.2,32700,5,30.0,v3.2.1,18
ORD00101,구좌읍,분식,맑음,Y,4.4,17100,4,19.0,v3.2.1,26
ORD00102,제주시내,한식,흐림,N,3.4,27200,4,19.0,v3.2.1,16
ORD00103,구좌읍,치킨,흐림,N,2.8,51700,5,25.0,v3.2.1,33
ORD00104,애월읍,한식,맑음,N,2.1,27900,4,7.0,v3.2.1,17
ORD00105,제주시내,중식,비,Y,4.3,36100,4,2.0,v3.2.1,48
ORD00106,조천읍,중식,맑음,Y,1.4,29400,4,12.0,v3.2.1,23
ORD00107,조천읍,카페디저트,비,N,1.8,9800,2,2.0,v3.2.1,21
ORD00108,조천읍,분식,맑음,N,4.8,11600,3,22.0,v3.2.1,25
ORD00109,조천읍,한식,비,N,1.3,21500,2,6.0,v3.2.1,30
ORD00110,애월읍,치킨,흐림,N,5.5,57600,5,22.0,v3.2.1,41
ORD00111,구좌읍,중식,맑음,N,3.7,22700,3,8.0,v3.2.1,31
ORD00112,조천읍,카페디저트,흐림,N,4.5,9000,1,8.0,v3.2.1,19
ORD00113,애월읍,치킨,맑음,N,5.6,50900,6,7.0,v3.2.1,41
ORD00114,조천읍,한식,흐림,Y,4.9,30800,5,2.0,v3.2.1,32
ORD00115,구좌읍,분식,맑음,N,2.2,22000,5,1.0,v3.2.1,24
ORD00116,제주시내,중식,흐림,N,2.5,29900,4,14.0,v3.2.1,20
ORD00117,애월읍,카페디저트,맑음,N,3.3,14600,3,4.0,v3.2.1,16
ORD00118,제주시내,카페디저트,비,N,2.9,22000,6,6.0,v3.2.1,24
ORD00119,구좌읍,카페디저트,흐림,Y,1.1,24900,6,4.0,v3.2.1,22
ORD00120,조천읍,중식,맑음,N,6.3,23100,2,32.0,v3.2.1,23
ORD00121,조천읍,치킨,맑음,N,2.9,29900,3,,v3.2.1,22
ORD00122,조천읍,치킨,맑음,Y,1.6,39200,3,20.0,v3.2.1,30
ORD00123,제주시내,치킨,맑음,Y,4.9,28200,2,13.0,v3.2.1,34
ORD00124,구좌읍,중식,맑음,Y,2.9,46400,7,5.0,v3.2.1,27
ORD00125,구좌읍,카페디저트,맑음,Y,1.7,13200,4,20.0,v3.2.1,12
ORD00126,한림읍,카페디저트,맑음,Y,6.3,15200,4,35.0,v3.2.1,24
ORD00127,제주시내,한식,흐림,N,3.6,20900,3,75.0,v3.2.1,19
ORD00128,제주시내,카페디저트,맑음,Y,4.9,7100,1,8.0,v3.2.1,19
ORD00129,애월읍,중식,맑음,Y,1.6,27900,3,3.0,v3.2.1,27
ORD00130,구좌읍,카페디저트,흐림,N,2.8,11000,2,10.0,v3.2.1,11
ORD00131,제주시내,치킨,맑음,N,4.2,43300,4,6.0,v3.2.1,31
ORD00132,애월읍,한식,맑음,N,2.7,40100,7,3.0,v3.2.1,29
ORD00133,한림읍,한식,맑음,N,7.4,31400,6,15.0,v3.2.1,33
ORD00134,한림읍,분식,흐림,N,1.5,12800,3,20.0,v3.2.1,10
ORD00135,조천읍,중식,흐림,N,6.0,16100,2,6.0,v3.2.1,41
ORD00136,애월읍,카페디저트,비,N,1.9,8200,2,90.0,v3.2.1,13
ORD00137,조천읍,치킨,맑음,Y,2.5,39800,3,38.0,v3.2.1,20
ORD00138,제주시내,치킨,,N,5.2,56000,5,15.0,v3.2.1,44
ORD00139,제주시내,분식,맑음,Y,0.9,7600,1,13.0,v3.2.1,21
ORD00140,제주시내,한식,흐림,Y,0.8,28500,4,6.0,v3.2.1,19
ORD00141,조천읍,중식,맑음,N,6.6,21100,3,3.0,v3.2.1,29
ORD00142,제주시내,한식,맑음,Y,1.4,23900,4,,v3.2.1,14
ORD00143,제주시내,치킨,맑음,N,5.0,42900,4,11.0,v3.2.1,29
ORD00144,제주시내,치킨,맑음,Y,4.9,41000,4,26.0,v3.2.1,36
ORD00145,한림읍,치킨,흐림,Y,9.0,23400,2,7.0,v3.2.1,57
ORD00146,제주시내,치킨,맑음,Y,0.9,38200,3,23.0,v3.2.1,20
ORD00147,조천읍,중식,비,Y,3.2,21500,2,2.0,v3.2.1,38
ORD00148,한림읍,치킨,맑음,Y,10.1,36400,3,59.0,v3.2.1,52
ORD00149,조천읍,치킨,흐림,Y,3.8,43100,4,48.0,v3.2.1,34
ORD00150,조천읍,중식,맑음,N,1.4,32400,4,5.0,v3.2.1,28
ORD00151,한림읍,카페디저트,맑음,Y,1.4,31300,8,27.0,v3.2.1,15
ORD00152,제주시내,치킨,흐림,N,7.8,48700,4,60.0,v3.2.1,40
ORD00153,구좌읍,치킨,맑음,N,1.8,41300,3,4.0,v3.2.1,20
ORD00154,제주시내,치킨,맑음,N,2.8,33000,2,15.0,v3.2.1,17
ORD00155,한림읍,중식,맑음,N,7.1,30800,4,16.0,v3.2.1,30
ORD00156,한림읍,카페디저트,맑음,N,8.1,6800,1,15.0,v3.2.1,28
ORD00157,한림읍,치킨,맑음,N,4.0,22200,1,18.0,v3.2.1,26
ORD00158,애월읍,중식,비,N,6.2,36500,4,8.0,v3.2.1,44
ORD00159,구좌읍,중식,맑음,Y,4.8,16300,1,1.0,v3.2.1,38
ORD00160,제주시내,한식,흐림,Y,2.4,20900,3,12.0,v3.2.1,30
ORD00161,제주시내,한식,맑음,N,2.8,21400,3,2.0,v3.2.1,25
ORD00162,제주시내,중식,흐림,N,2.8,31200,4,1.0,v3.2.1,25
ORD00163,애월읍,카페디저트,비,N,6.7,11300,2,14.0,v3.2.1,37
ORD00164,구좌읍,치킨,비,Y,7.6,17300,1,1.0,v3.2.1,169
ORD00165,한림읍,중식,흐림,N,1.7,22500,3,1.0,v3.2.1,25
ORD00166,제주시내,한식,맑음,N,2.5,27700,4,39.0,v3.2.1,19
ORD00167,한림읍,치킨,맑음,N,2.4,55000,5,21.0,v3.2.1,29
ORD00168,제주시내,중식,맑음,N,3.5,21800,2,6.0,v3.2.1,23
ORD00169,구좌읍,치킨,비,N,3.4,34500,3,1.0,v3.2.1,44
ORD00170,애월읍,치킨,흐림,N,4.5,43700,3,38.0,v3.2.1,23
ORD00171,제주시내,한식,맑음,N,4.5,29700,6,8.0,v3.2.1,30
ORD00172,조천읍,카페디저트,맑음,N,5.5,9100,2,23.0,v3.2.1,16
ORD00173,구좌읍,카페디저트,맑음,Y,7.5,12800,3,,v3.2.1,39
ORD00174,제주시내,치킨,흐림,N,1.7,31400,3,19.0,v3.2.1,21
ORD00175,제주시내,분식,맑음,Y,2.7,14300,3,36.0,v3.2.1,22
ORD00176,구좌읍,카페디저트,비,N,3.2,10400,2,3.0,v3.2.1,29
ORD00177,구좌읍,분식,비,N,1.5,25400,6,2.0,v3.2.1,21
ORD00178,조천읍,카페디저트,맑음,Y,2.4,16900,4,6.0,v3.2.1,24
ORD00179,구좌읍,중식,흐림,N,3.1,26500,3,5.0,v3.2.1,29
ORD00180,제주시내,치킨,비,Y,2.9,39400,3,1.0,v3.2.1,43
ORD00181,제주시내,중식,비,N,4.7,36500,5,7.0,v3.2.1,35
ORD00182,제주시내,치킨,흐림,N,2.7,34300,3,8.0,v3.2.1,27
ORD00183,제주시내,치킨,흐림,Y,4.0,43400,3,,v3.2.1,43
ORD00184,한림읍,한식,맑음,Y,9.0,31600,5,4.0,v3.2.1,53
ORD00185,구좌읍,치킨,맑음,Y,3.2,51000,4,14.0,v3.2.1,35
ORD00186,제주시내,중식,비,N,2.2,19400,2,6.0,v3.2.1,27
ORD00187,제주시내,카페디저트,맑음,N,4.6,8900,2,1.0,v3.2.1,19
ORD00188,제주시내,치킨,맑음,N,2.9,38200,3,10.0,v3.2.1,18
ORD00189,구좌읍,한식,흐림,N,2.1,28000,4,21.0,v3.2.1,19
ORD00190,조천읍,카페디저트,맑음,Y,5.3,7400,1,33.0,v3.2.1,20
ORD00191,한림읍,카페디저트,맑음,N,4.2,13200,3,8.0,v3.2.1,12
ORD00192,제주시내,중식,맑음,Y,8.9,11400,1,3.0,v3.2.1,48
ORD00193,제주시내,중식,맑음,Y,3.0,20500,3,3.0,v3.2.1,26
ORD00194,제주시내,분식,맑음,Y,2.4,17100,4,22.0,v3.2.1,11
ORD00195,구좌읍,중식,흐림,N,5.7,46300,6,9.0,v3.2.1,40
ORD00196,애월읍,치킨,맑음,Y,5.0,47000,4,4.0,v3.2.1,47
ORD00197,제주시내,중식,맑음,N,2.0,20900,2,5.0,v3.2.1,24
ORD00198,제주시내,분식,맑음,N,3.4,18800,4,6.0,v3.2.1,21
ORD00199,제주시내,중식,맑음,N,2.6,20600,3,13.0,v3.2.1,11
ORD00200,제주시내,치킨,맑음,Y,2.4,76200,7,53.0,v3.2.1,26
ORD00201,제주시내,치킨,흐림,N,4.1,46600,4,1.0,v3.2.1,34
ORD00202,한림읍,치킨,맑음,N,7.6,31300,3,18.0,v3.2.1,44
ORD00203,제주시내,치킨,맑음,N,3.1,39400,3,22.0,v3.2.1,21
ORD00204,제주시내,카페디저트,흐림,N,3.2,15500,3,5.0,v3.2.1,16
ORD00205,제주시내,치킨,맑음,N,1.7,48000,4,18.0,v3.2.1,17
ORD00206,구좌읍,한식,흐림,N,8.0,20500,3,19.0,v3.2.1,36
ORD00207,한림읍,한식,맑음,Y,4.9,43000,8,5.0,v3.2.1,43
ORD00208,제주시내,분식,맑음,Y,2.3,30000,7,8.0,v3.2.1,16
ORD00209,한림읍,치킨,맑음,N,3.1,14700,1,1.0,v3.2.1,31
ORD00210,한림읍,한식,흐림,N,2.1,21000,3,13.0,v3.2.1,16
ORD00211,조천읍,치킨,맑음,N,3.8,50700,6,13.0,v3.2.1,28
ORD00212,조천읍,치킨,비,Y,4.0,56200,6,15.0,v3.2.1,43
ORD00213,애월읍,중식,비,N,2.3,13000,2,3.0,v3.2.1,31
ORD00214,제주시내,카페디저트,맑음,Y,1.0,12900,3,4.0,v3.2.1,10
ORD00215,제주시내,카페디저트,맑음,Y,9.7,19300,5,11.0,v3.2.1,39
ORD00216,애월읍,치킨,비,N,1.5,34800,3,1.0,v3.2.1,35
ORD00217,애월읍,치킨,흐림,Y,2.5,31900,2,5.0,v3.2.1,30
ORD00218,애월읍,중식,비,N,4.3,20500,2,37.0,v3.2.1,28
ORD00219,제주시내,한식,맑음,N,6.8,17100,2,81.0,v3.2.1,29
ORD00220,제주시내,치킨,맑음,N,3.2,34300,3,17.0,v3.2.1,25
ORD00221,제주시내,한식,맑음,Y,4.0,14000,1,1.0,v3.2.1,30
ORD00222,구좌읍,치킨,흐림,N,3.0,47900,4,1.0,v3.2.1,28
ORD00223,한림읍,카페디저트,맑음,N,2.1,15100,3,6.0,v3.2.1,16
ORD00224,조천읍,분식,흐림,N,3.9,14800,3,5.0,v3.2.1,19
ORD00225,제주시내,한식,흐림,N,6.1,17800,3,16.0,v3.2.1,34
ORD00226,제주시내,치킨,비,Y,4.8,47200,4,6.0,v3.2.1,56
ORD00227,제주시내,치킨,맑음,N,7.4,17400,1,21.0,v3.2.1,28
ORD00228,한림읍,치킨,맑음,Y,5.2,33600,2,1.0,v3.2.1,47
ORD00229,조천읍,분식,흐림,N,4.9,26300,6,13.0,v3.2.1,26
ORD00230,애월읍,치킨,흐림,Y,3.9,33700,3,20.0,v3.2.1,32
ORD00231,한림읍,치킨,흐림,N,4.1,29300,2,17.0,v3.2.1,25
ORD00232,제주시내,분식,흐림,Y,1.2,7900,1,1.0,v3.2.1,29
ORD00233,제주시내,한식,맑음,Y,3.8,23600,3,9.0,v3.2.1,31
ORD00234,조천읍,분식,비,Y,3.5,22800,5,35.0,v3.2.1,33
ORD00235,애월읍,한식,흐림,N,1.6,24300,4,2.0,v3.2.1,26
ORD00236,애월읍,치킨,맑음,Y,2.2,31200,3,3.0,v3.2.1,29
ORD00237,제주시내,분식,맑음,Y,2.3,10500,2,2.0,v3.2.1,27
ORD00238,애월읍,한식,맑음,N,3.0,11900,1,11.0,v3.2.1,15
ORD00239,애월읍,한식,맑음,N,8.4,24700,3,6.0,v3.2.1,43
ORD00240,조천읍,한식,맑음,Y,5.0,41800,6,4.0,v3.2.1,33
ORD00241,조천읍,치킨,맑음,Y,8.5,32700,3,2.0,v3.2.1,48
ORD00242,제주시내,치킨,맑음,Y,2.8,24500,1,13.0,v3.2.1,28
ORD00243,한림읍,분식,흐림,Y,4.6,6900,1,12.0,v3.2.1,25
ORD00244,조천읍,한식,맑음,Y,1.7,17900,3,5.0,v3.2.1,23
ORD00245,조천읍,치킨,맑음,Y,5.8,64200,6,12.0,v3.2.1,50
ORD00246,제주시내,치킨,비,Y,3.1,26700,2,4.0,v3.2.1,45
ORD00247,제주시내,치킨,맑음,N,2.1,21100,1,,v3.2.1,26
ORD00248,한림읍,한식,맑음,Y,3.7,30300,5,89.0,v3.2.1,30
ORD00249,제주시내,분식,맑음,Y,8.8,19800,5,22.0,v3.2.1,44
ORD00250,구좌읍,치킨,흐림,Y,4.3,27700,3,43.0,v3.2.1,34
ORD00251,제주시내,중식,,N,6.4,13700,2,4.0,v3.2.1,25
ORD00252,제주시내,한식,흐림,N,2.0,28600,4,6.0,v3.2.1,21
ORD00253,조천읍,치킨,맑음,N,2.0,60300,5,2.0,v3.2.1,19
ORD00254,한림읍,치킨,비,N,4.6,41900,4,1.0,v3.2.1,44
ORD00255,한림읍,치킨,,Y,6.1,25400,2,21.0,v3.2.1,40
ORD00256,제주시내,중식,맑음,N,3.7,15100,1,2.0,v3.2.1,24
ORD00257,애월읍,분식,맑음,Y,1.2,13700,2,23.0,v3.2.1,20
ORD00258,한림읍,중식,비,Y,9.0,26800,3,21.0,v3.2.1,59
ORD00259,애월읍,카페디저트,맑음,Y,4.7,12100,3,1.0,v3.2.1,27
ORD00260,한림읍,치킨,흐림,N,4.7,25100,2,20.0,v3.2.1,23
ORD00261,조천읍,치킨,,N,5.8,51100,4,3.0,v3.2.1,33
ORD00262,구좌읍,중식,비,N,1.7,22300,3,10.0,v3.2.1,17
ORD00263,제주시내,한식,맑음,N,2.7,26100,5,38.0,v3.2.1,15
ORD00264,구좌읍,한식,흐림,N,11.0,18400,3,38.0,v3.2.1,46
ORD00265,제주시내,분식,흐림,N,2.2,15900,3,16.0,v3.2.1,12
ORD00266,제주시내,치킨,맑음,N,8.0,83300,7,1.0,v3.2.1,51
ORD00267,제주시내,치킨,흐림,N,1.0,32500,3,8.0,v3.2.1,23
ORD00268,애월읍,카페디저트,비,N,0.8,15200,3,9.0,v3.2.1,12
ORD00269,애월읍,치킨,,Y,5.5,28500,2,11.0,v3.2.1,44
ORD00270,애월읍,카페디저트,맑음,N,1.4,16400,4,48.0,v3.2.1,8
ORD00271,한림읍,한식,흐림,Y,5.0,38800,6,9.0,v3.2.1,39
ORD00272,조천읍,치킨,맑음,N,2.4,23900,1,6.0,v3.2.1,19
ORD00273,애월읍,치킨,,Y,5.0,20300,1,17.0,v3.2.1,34
ORD00274,조천읍,한식,맑음,Y,3.7,11200,1,1.0,v3.2.1,34
ORD00275,제주시내,분식,맑음,N,4.8,21500,5,41.0,v3.2.1,13
ORD00276,애월읍,중식,맑음,N,2.6,29700,4,11.0,v3.2.1,22
ORD00277,제주시내,한식,비,N,2.4,18100,3,22.0,v3.2.1,31
ORD00278,구좌읍,중식,맑음,Y,4.7,10900,1,1.0,v3.2.1,34
ORD00279,제주시내,분식,흐림,Y,9.1,12500,2,17.0,v3.2.1,51
ORD00280,구좌읍,치킨,맑음,N,3.0,57400,5,,v3.2.1,22
ORD00281,애월읍,분식,맑음,N,1.3,17600,3,5.0,v3.2.1,10
ORD00282,제주시내,한식,비,N,4.9,17300,3,3.0,v3.2.1,32
ORD00283,조천읍,분식,맑음,N,1.1,18700,4,3.0,v3.2.1,18
ORD00284,애월읍,한식,맑음,N,4.2,25100,4,1.0,v3.2.1,34
ORD00285,구좌읍,카페디저트,흐림,Y,1.1,20300,5,11.0,v3.2.1,19
ORD00286,제주시내,중식,맑음,Y,7.9,26700,4,6.0,v3.2.1,50
ORD00287,제주시내,치킨,,N,2.5,50700,4,5.0,v3.2.1,28
ORD00288,제주시내,치킨,흐림,N,4.5,33600,3,2.0,v3.2.1,31
ORD00289,조천읍,카페디저트,맑음,Y,1.1,13600,3,4.0,v3.2.1,21
ORD00290,제주시내,치킨,,N,6.3,29000,3,1.0,v3.2.1,42
ORD00291,제주시내,중식,맑음,Y,1.1,20700,2,4.0,v3.2.1,25
ORD00292,애월읍,한식,맑음,N,5.1,34700,6,9.0,v3.2.1,28
ORD00293,한림읍,한식,맑음,N,3.4,14800,1,29.0,v3.2.1,12
ORD00294,한림읍,분식,흐림,Y,2.1,15500,3,14.0,v3.2.1,25
ORD00295,애월읍,분식,비,N,8.3,14400,3,3.0,v3.2.1,165
ORD00296,구좌읍,치킨,맑음,Y,3.6,46700,4,28.0,v3.2.1,35
ORD00297,제주시내,중식,맑음,Y,4.9,20300,3,15.0,v3.2.1,36
ORD00298,조천읍,중식,맑음,N,6.8,18600,2,1.0,v3.2.1,36
ORD00299,한림읍,치킨,맑음,N,3.7,27100,2,17.0,v3.2.1,24
ORD00300,제주시내,카페디저트,맑음,Y,5.1,10200,2,6.0,v3.2.1,35
ORD00301,조천읍,중식,맑음,N,3.3,45700,6,16.0,v3.2.1,25
ORD00302,한림읍,한식,맑음,N,2.7,14700,1,2.0,v3.2.1,18
ORD00303,구좌읍,분식,맑음,Y,1.9,10800,1,28.0,v3.2.1,22
ORD00304,한림읍,치킨,비,Y,3.6,65700,8,30.0,v3.2.1,39
ORD00305,제주시내,치킨,맑음,N,1.3,23000,1,3.0,v3.2.1,24
ORD00306,한림읍,치킨,비,Y,4.5,43400,3,5.0,v3.2.1,309
ORD00307,조천읍,치킨,비,Y,4.4,25800,2,19.0,v3.2.1,42
ORD00308,한림읍,한식,맑음,N,1.7,16900,2,2.0,v3.2.1,17
ORD00309,조천읍,중식,맑음,N,4.1,45800,6,5.0,v3.2.1,20
ORD00310,제주시내,한식,비,Y,4.1,16800,2,22.0,v3.2.1,29
ORD00311,한림읍,한식,맑음,Y,1.8,26700,4,55.0,v3.2.1,24
ORD00312,조천읍,중식,맑음,N,3.0,16600,1,20.0,v3.2.1,24
ORD00313,제주시내,치킨,맑음,Y,4.7,36200,4,32.0,v3.2.1,31
ORD00314,조천읍,치킨,맑음,Y,3.1,35200,3,7.0,v3.2.1,36
ORD00315,제주시내,분식,비,Y,1.7,13200,3,1.0,v3.2.1,17
ORD00316,제주시내,중식,비,N,4.9,36000,5,1.0,v3.2.1,40
ORD00317,조천읍,분식,흐림,N,3.1,16300,3,5.0,v3.2.1,16
ORD00318,제주시내,한식,맑음,N,9.9,20900,3,40.0,v3.2.1,36
ORD00319,제주시내,치킨,비,Y,6.4,36500,2,36.0,v3.2.1,46
ORD00320,조천읍,중식,맑음,Y,1.6,16200,1,3.0,v3.2.1,30
ORD00321,한림읍,한식,맑음,N,2.8,22000,3,16.0,v3.2.1,14
ORD00322,애월읍,카페디저트,맑음,Y,3.6,7000,1,3.0,v3.2.1,20
ORD00323,제주시내,중식,비,N,2.6,23700,3,10.0,v3.2.1,27
ORD00324,제주시내,치킨,맑음,N,3.4,62200,5,21.0,v3.2.1,27
ORD00325,조천읍,분식,비,Y,2.7,16300,4,6.0,v3.2.1,35
